---Best Solution---
Total Value: 4334755
Item 664 not selected.
Item 665 not selected.
Item 666 not selected.
Item 667 not selected.
Item 668 not selected.
Item 669 not selected.
Item 670 not selected.
Item 671 not selected.
Item 672 not selected.
Item 673 not selected.
Item 674 not selected.
Item 675 not selected.
Item 676 not selected.
Item 677 not selected.
Item 678 not selected.
Item 679 not selected.
Item 680 not selected.
Item 681 not selected.
Item 682 not selected.
Item 683 not selected.
Item 684 not selected.
Item 685 not selected.
Item 686 not selected.
Item 687 not selected.
Item 688 not selected.
Item 689 not selected.
Item 690 not selected.
Item 691 not selected.
Item 692 not selected.
Item 693 not selected.
Item 694 not selected.
Item 695 not selected.
Item 696 not selected.
Item 697 not selected.
Item 698 not selected.
Item 699 not selected.
Item 700 not selected.
Item 701 not selected.
Item 702 not selected.
Item 703 not selected.
Item 704 not selected.
Item 705 not selected.
Item 706 not selected.
Item 707 not selected.
Item 708 not selected.
Item 709 not selected.
Item 710 not selected.
Item 711 not selected.
Item 712 not selected.
Item 713 not selected.
Item 714 not selected.
Item 715 not selected.
Item 716 not selected.
Item 717 not selected.
Item 718 not selected.
Item 719 not selected.
Item 720 not selected.
Item 721 not selected.
Item 722 not selected.
Item 723 not selected.
Item 724 not selected.
Item 725 not selected.
Item 726 not selected.
Item 727 not selected.
Item 728 selected.
Item 729 not selected.
Item 730 not selected.
Item 731 not selected.
Item 732 not selected.
Item 733 not selected.
Item 734 not selected.
Item 735 not selected.
Item 736 not selected.
Item 737 not selected.
Item 738 not selected.
Item 739 not selected.
Item 740 not selected.
Item 741 selected.
Item 742 not selected.
Item 743 not selected.
Item 744 selected.
Item 745 not selected.
Item 746 not selected.
Item 747 not selected.
Item 748 not selected.
Item 749 not selected.
Item 750 not selected.
Item 751 not selected.
Item 752 not selected.
Item 753 not selected.
Item 754 not selected.
Item 755 not selected.
Item 756 not selected.
Item 757 not selected.
Item 758 not selected.
Item 759 selected.
Item 760 not selected.
Item 761 not selected.
Item 762 not selected.
Item 763 not selected.
Item 764 not selected.
Item 765 selected.
Item 766 not selected.
Item 767 not selected.
Item 768 not selected.
Item 769 not selected.
Item 770 not selected.
Item 771 not selected.
Item 772 not selected.
Item 773 not selected.
Item 774 not selected.
Item 775 not selected.
Item 776 not selected.
Item 777 not selected.
Item 778 not selected.
